cause,category_cause,effect,category_effect,relationship,frequency,num_papers,main_confidence,sample_evidence,pmid_list
Cit-AuNRs@Anti-TRPV1,formulation,TRPV1 activation,stability,induces,1,1,high,Cit-AuNRs@Anti-TRPV1 as a photothermal switch for TRPV1 activation in chondrocytes under near infrared (NIR) irradiation,38358041
anti-SSTR2 mAb,sequence,payload release,stability,increases,1,1,high,"the ADC can effectively bind, internalize, release payload, and kill NET cells.",32684623
domain,structure,life,stability,increases,1,1,high,Presence of the Fc domain significantly increases the plasma life of the fusion partner.,34341175
domain,structure,therapeutic activity,stability,promotes,1,1,high,"Presence of the Fc domain significantly increases the plasma life of the fusion partner, which prolongs therapeutic acti",34341175
domain,structure,solubility,stability,increases,1,1,high,the Fc domain enhances the solubility and stability of the partner molecule.,34341175
FX,sequence,CaOx crystallization,stability,promotes,1,1,high,"FX protein promoted CaOx crystallization, crystal aggregation and crystal invasion.",41617011
FX,sequence,crystal aggregation,stability,promotes,1,1,high,"FX protein promoted CaOx crystallization, crystal aggregation and crystal invasion.",41617011
FX,sequence,crystal invasion,stability,promotes,1,1,high,"FX protein promoted CaOx crystallization, crystal aggregation and crystal invasion.",41617011
FX,sequence,crystal growth,stability,inhibits,1,1,high,FX inhibited CaOx crystal growth and crystal-cell adhesion.,41617011
FX,sequence,cell adhesion,stability,inhibits,1,1,high,FX inhibited CaOx crystal growth and crystal-cell adhesion.,41617011
FX,sequence,Ca binding,stability,binds,1,1,high,FX effectively bound both Ca and Ox ions.,41617011
FX,sequence,Ox binding,stability,binds,1,1,high,FX effectively bound both Ca and Ox ions.,41617011
FX,sequence,crystal surfaces,stability,binds,1,1,high,FX protein revealed the direct binding of this protein to CaOx crystal surfaces.,41617011
N-linked sites deletion,sequence,in vivo half-life,stability,increases,1,1,high,Progressive deletion of three demonstrated N-linked sites in EphA4 progressively increased in vivo half-life.,28747680
dropping,stress,sub-visible particles,stability,promotes,1,1,high,Liquid protein-based biopharmaceutical formulations have been reported to form protein sub-visible particles (SbVPs) dur,34282500
secondary package,formulation,liquid formulation quality,quality_outcome,destabilizes,1,1,medium,the secondary package system has little to no effect on the liquid biopharmaceutical formulation quality during dropping,34282500
formulation compositions,formulation,stability,stability,requires,1,1,medium,the stability of liquid biopharmaceutical formulations during dropping is more relevant to formulation compositions.,34282500
temperature selection,stress,degradation processes,stability,modifies,1,1,high,significance of temperature selection in stability studies,40594607
temperature selection,stress,aggregate stability,stability,promotes,1,1,high,temperature selection in stability studies...predict protein aggregate stability,40594607
first-order model,structure,reliability,stability,increases,1,1,high,simplicity of the first-order kinetic model enhances reliability,40594607
first-order model,structure,stability estimates,stability,increases,1,1,high,kinetic model provided more precise and accurate stability estimates,40594607
first-order model,structure,parameters and samples count,stability,decreases,1,1,high,reducing the number of parameters and samples required,40594607
first-order model,structure,predictions,stability,promotes,1,1,high,effective modeling of aggregate predictions for diverse protein modalities,40594607
endotoxin-associated protein,formulation,lymphocyte activation,stability,induces,1,1,high,EAP also exhibited IL-1-like activity in the lymphocyte-activating factor assay.,3286501
LPS,formulation,serum amyloid A,stability,induces,1,1,high,LPS mediates its SAA-inducing activity by release of an inducer (IL-1) from LPS-stimulated macrophages.,3286501
formulation compositions,formulation,biopharmaceutical stability,stability,increases,1,1,high,Formulation compositions have dramatic impact on biopharmaceutical stability during dropping.,34282500
mutation panel,sequence,self-association propensity,stability,decreases,1,1,high,...engineered mAbs exhibited enhanced in vitro and simulated in vivo solubility and reduced self-association propensity.,30395473
engineered mAbs,sequence,binding affinity,stability,requires,1,1,high,...while maintaining binding affinity and thermal stability.,30395473
engineered mAbs,sequence,thermal stability,stability,requires,1,1,high,...while maintaining binding affinity and thermal stability.,30395473
glycosylation,sequence,structural integrity,structure,modifies,1,1,high,effects of N-glycosylation site occupancy and Asp/Gln residues at site Asn 297.,24740840
structural integrity,structure,physical stability,stability,increases,1,1,high,The structural integrity and conformational stability of various IgG1-Fc proteins.,24740840
conformational stability,stability,physical stability,stability,increases,1,1,high,The structural integrity and conformational stability of various IgG1-Fc proteins.,24740840
Asp residues,sequence,structural integrity,structure,modifies,1,1,high,the introduction of Asp (D) residues at site 297 resulted in more subtle changes in structural integrity.,24740840
Asp residues,sequence,physical stability,stability,modifies,1,1,high,the introduction of Asp (D) residues at site 297 resulted in more subtle changes in physical stability.,24740840
pH,stress,structural integrity,structure,modifies,1,1,high,depending on solution pH.,24740840
heat elution,formulation,thermostability,stability,promotes,1,1,medium,Based on the thermostability of the deltaTaq DNA polymerase.,9116494
thermostability,stability,full enzymatic activity,stability,requires,1,1,medium,The flow-through fraction contained essentially pure deltaTaq DNA polymerase with full enzymatic activity.,9116494
oxidation,stress,physicochemical properties,structure,modifies,1,1,high,"oxidation, despite altering physicochemical properties.",41544534
high temperature,stress,free radical formation,stability,induces,1,1,high,the high temperature formed during dropping was probably the root cause for protein aggregation and free radical formati,33049261
free radicals,formulation,SbVPs,stability,inhibits,1,1,high,Formation of SbVPs could be partially inhibited by the free radical scavengers methionine and CTPO.,33049261
free radicals,stability,aggregation,stability,promotes,1,1,high,which could further cause protein aggregation.,33049261
temperature,stress,free radical formation,stability,correlates,1,1,medium,The amount of free radicals and SbVPs was correlated to the sample temperature during dropping.,33049261
temperature,stress,SbVPs,stability,correlates,1,1,medium,The amount of free radicals and SbVPs was correlated to the sample temperature during dropping.,33049261
methionine oxidation,sequence,stability,stability,destabilizes,1,1,high,Methionine oxidation in monoclonal antibodies (mAbs) could critically compromise drug stability and efficacy.,41544534
methionine oxidation,sequence,charge heterogeneity,stability,increases,1,1,high,"preferential oxidation at M253 and M429 residues, concomitant with increased charge heterogeneity.",41544534
methionine oxidation,sequence,hydrophobicity,structure,increases,1,1,high,"preferential oxidation at M253 and M429 residues, concomitant with increased hydrophobicity.",41544534
oxidation,stress,CDC activity,quality_outcome,decreases,1,1,high,oxidation attenuated Complement-Dependent Cytotoxicity (CDC) activity by 70%.,41544534
oxidation,stress,binding affinity,quality_outcome,requires,1,1,high,"it did not alter Antibody-Dependent Cellular Cytotoxicity (ADCC), binding affinity (FcgammaRIIIa).",41544534
oxidation,stress,in-vivo efficacy,quality_outcome,requires,1,1,high,it did not alter in-vivo anti-tumor efficacy in murine models.,41544534
dropping stress,stress,degradation,stability,destabilizes,1,1,high,Dropping during shipping and handling of liquid biopharmaceutical formulations has long been known to cause protein degr,33049261
anti-VEGF mAb,formulation,permeability,stability,inhibits,1,1,high,Anti-VEGF mAbs have revolutionized DR treatment by effectively targeting vascular permeability.,41601934
bispecific antibodies,formulation,VEGF pathways,stability,modifies,1,1,medium,bispecific antibodies like faricimab that simultaneously target VEGF and angiopoietin-2 pathways.,41601934
anti-inflammatory mAb,formulation,efficacy,stability,requires,1,1,medium,clinical evidence supporting their efficacy remains limited.,41601934
UHRAs,formulation,ULIC formation,stability,inhibits,1,1,high,UHRAs inhibited formation and dissociated preformed ultralarge PF4-UFH complexes.,40132149
UHRAs,formulation,preformed structures,stability,destabilizes,1,1,high,UHRAs inhibited formation and dissociated preformed ultralarge PF4-UFH complexes.,40132149
UHRAs,formulation,binding of KKO,stability,inhibits,1,1,high,UHRAs blocked binding of KKO to platelets.,40132149
UHRAs,formulation,KKO-induced platelet adhesion,stability,inhibits,1,1,high,UHRAs blocked KKO-induced adhesion of platelets to activated human endothelium.,40132149
UHRAs,formulation,microvascular thrombosis,stability,inhibits,1,1,high,UHRAs inhibited microvascular thrombosis induced by KKO in a mouse model of HIT.,40132149
UHRAs,formulation,binding of antibodies,stability,inhibits,1,1,high,UHRAs blocked binding of human HIT immunoglobulin G antibodies to PF4/heparin.,40132149
ACI-6677 (mAb),formulation,TDP-43 aggregation,stability,inhibits,1,1,high,ACI-6677 inhibited TDP-43 aggregation and boosted removal of pathological TDP-43 aggregates by phagocytosis.,39363348
ACI-6677 (mAb),formulation,TDP-43 aggregate phagocytosis,stability,promotes,1,1,high,ACI-6677 inhibited TDP-43 aggregation and boosted removal of pathological TDP-43 aggregates by phagocytosis.,39363348
